Document Type,Authors,Title,Source,Year,Link,Abstract,Keywords
Conference Paper,"Sadhukhan S., Ghorai G.K., Maiti S., Sarkar G., Dhara A.K.",Optic Disc Localization in Retinal Fundus Images using Faster R-CNN,"Proceedings of 5th International Conference on Emerging Applications of Information Technology, EAIT 2018",2018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055512452&doi=10.1109%2fEAIT.2018.8470435&partnerID=40&md5=ab11870af8fc11f63f5a0360dcdd13ce,"Now a days lot of people are suffering from Diabetic Retinopathy throughout the world. This is one kind of eye disease which affects people having diabetes for long time. If this is undiagnosed and not treated for long time, it can lead to blindness. Several studies have shown that an early detection and timely treatment is the only way to reduce the sufferings from diabetic retinopathy. The development of an automated screening system is the right approach for screening of diabetic retinopathy. Automated detection of several anatomical regions such as optic disc, retinal vasculature and macula is important to design a tool for the screening purpose. In our work we have presented a novel and fast optic disc detection method using Faster R-CNN. The proposed method is validated on 1200 fundus images from the MESSIDOR database which is widely accepted publicly available dataset for research purpose. We propose a supervised detection technique that uses a deep learning network trained on 6, 992 retinal fundus images augmented using geometrical transformations from MESSIDOR-II database. The proposed method shows satisfactory robustness on both normal and images affected by diabetic retinopathy. It outperforms many previous methods in terms of speed with satisfactory accuracy of optic disc localization. © 2018 IEEE.",Computer aided diagnosis of diabetic retinopathy; Convolution neural network; Faster R-CNN; MESSIDOR database.; Regression; Softmax classifier
Conference Paper,"Kanakatte A., Gubbi J., Ghose A., Purushothaman B.",A Decision Support System for Retinal Image Defect Detection,"ISBI Workshops 2020 - International Symposium on Biomedical Imaging Workshops, Proceedings",2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090403546&doi=10.1109%2fISBIWorkshops50223.2020.9153446&partnerID=40&md5=b4f46b5e0d773861bde945c8863bffe0,"Deep learning has become the de facto method for image classification. In this work, a common framework for decision support system is presented that can be reused for diagnosing multiple retinal clinical conditions. Retinal fundus images provide a non-invasive way to diagnose eye-related diseases like glaucoma and diabetic retinopathy (DR). State-of-the-art deep learning methods focus on the detection of key regions of the retina including fundus, optic disc and retinal vessels individually. In order to achieve acceptable precision and recall for a clinically deployable system, a decision support system that combines state-of-the-art deep learning system and relevant explainable features are built. The proposed method is tested on two retinal pathology use cases - glaucoma and for the detection of hard exudates that is critical in diagnosing DR. The proposed model is validated using DRIVE dataset with average Jaccard index of more than 96% for fundus, around 98% for OD and around 90% in identifying retinal vessels using a five-fold cross-validation. For disease detection, the above key regions are combined and validated using standard datasets with good outcomes. © 2020 IEEE.",Decision Support System; Diabetic Retinopathy; Glaucoma; Retinal imaging
Article,"Hacisoftaoglu R.E., Karakaya M., Sallam A.B.",Deep learning frameworks for diabetic retinopathy detection with smartphone-based retinal imaging systems,Pattern Recognition Letters,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085268695&doi=10.1016%2fj.patrec.2020.04.009&partnerID=40&md5=d3f633239829c0ec429e34703d3ddc5c,"Diabetic Retinopathy (DR) may result in various degrees of vision loss and even blindness if not diagnosed in a timely manner. Therefore, having an annual eye exam helps early detection to prevent vision loss in earlier stages, especially for diabetic patients. Recent technological advances made smartphone-based retinal imaging systems available on the market to perform small-sized, low-powered, and affordable DR screening in diverse environments. However, the accuracy of DR detection depends on the field of view and image quality. Since smartphone-based retinal imaging systems have much more compact designs than a traditional fundus camera, captured images are likely to be the low quality with a smaller field of view. Our motivation in this paper is to develop an automatic DR detection model for smartphone-based retinal images using the deep learning approach with the ResNet50 network. This study first utilized the well-known AlexNet, GoogLeNet, and ResNet50 architectures, using the transfer learning approach. Second, these frameworks were retrained with retina images from several datasets including EyePACS, Messidor, IDRiD, and Messidor-2 to investigate the effect of using images from the single, cross, and multiple datasets. Third, the proposed ResNet50 model is applied to smartphone-based synthetic images to explore the DR detection accuracy of smartphone-based retinal imaging systems. Based on the vision-threatening diabetic retinopathy detection results, the proposed approach achieved a high classification accuracy of 98.6%, with a 98.2% sensitivity and a 99.1% specificity while its AUC was 0.9978 on the independent test dataset. As the main contributions, DR detection accuracy was improved using the transfer learning approach for the ResNet50 network with publicly available datasets and the effect of the field of view in smartphone-based retinal imaging was studied. Although a smaller number of images were used in the training set compared with the existing studies, considerably acceptable high accuracies for validation and testing data were obtained. © 2020 Elsevier B.V.",AlexNet; Deep learning; Diabetic retinopathy; GoogLeNet; ResNet50; Smartphone-based retinal imaging
Article,"Li X., Jiang Y., Zhang J., Li M., Luo H., Yin S.",Lesion-attention pyramid network for diabetic retinopathy grading,Artificial Intelligence in Medicine,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125463429&doi=10.1016%2fj.artmed.2022.102259&partnerID=40&md5=64cc496222bdba46ef5d8504416fe3b3,"As one of the most common diabetic complications, diabetic retinopathy (DR) can cause retinal damage, vision loss and even blindness. Automated DR grading technology has important clinical significance, which can help ophthalmologists achieve rapid and early diagnosis. With the popularity of deep learning, DR grading based on the convolutional neural networks (CNNs) has become the mainstream method. Unfortunately, although the CNN-based method can achieve satisfactory diagnostic accuracy, it lacks significant clinical information. In this paper, a lesion-attention pyramid network (LAPN) is presented. The pyramid network integrates the subnetworks with different resolutions to get multi-scale features. In order to take the lesion regions in the high-resolution image as the diagnostic evidence, the low-resolution network calculates the lesion activation map (using the weakly-supervised localization method) and guides the high-resolution network to concentrate on the lesion regions. Furthermore, a lesion attention module (LAM) is designed to capture the complementary relationship between the high-resolution features and the low-resolution features, and to fuse the lesion activation map. Experiment results show that the proposed scheme outperforms other existing approaches, and the proposed method can provide lesion activation map with lesion consistency as an additional evidence for clinical diagnosis. © 2022",Attention mechanism; Convolutional neural network; Diabetic retinopathy; Pyramid network
Conference Paper,"Bulut B., Kalin V., Gunes B.B., Khazhin R.",Deep Learning Approach for Detection of Retinal Abnormalities Based on Color Fundus Images,"Proceedings - 2020 Innovations in Intelligent Systems and Applications Conference, ASYU 2020",2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097951607&doi=10.1109%2fASYU50717.2020.9259870&partnerID=40&md5=8338ac3a5020b4f448a08d09096b93bd,"In cases where people cannot access regular controls, treatment and care, delaying the diagnosis and treatment of eye diseases such as glaucoma, cataracts, diabetic retinopathy or leaving them to deteriorate unconsciously, may make daily life difficult and even cause blindness. Therefore, automatic examination of fundus photographs is important in terms of providing early diagnosis with fast, objective and consistent image evaluation and helping the application of large-scale scanning programs. This research uses Xception model with transfer learning method to classify images obtained from Akdeniz University Hospital Eye Diseases Department. During the analysis, the Xception model containing 50 different parameter combinations was trained by scanning the appropriate hyper-parameter space for the model. Comparisons were made for the top 9 models with the highest performance. The 4th model reached the highest accuracy rate with 91.39% for the training set, and as for the validation set, the 0th model showed 82.5% of accuracy. In addition, in order to test the performance of the model with an independent data set, open access fundus images were used for test analysis and binary classification AUC (Area Under Curve) values were calculated for 21 different diseases. © 2020 IEEE.",artificial intelligence; computer vision; convolutional neural network; decision support system; deep learning; eye disease; fundus images; hyper-parameter optimization; image classification; transfer learning; Xception
Article,"Somasundaram K., Sivakumar P., Suresh D.",Classification of Diabetic Retinopathy Diseas with Transfer Learning using Deep Convolutional Neural Networks,Advances in Electrical and Computer Engineering,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114777184&doi=10.4316%2fAECE.2021.03006&partnerID=40&md5=1410e5297d137c50d18846eaa8edf0ff,"Diabetic Retinopathy (DR) stays a main source of vision deterioration around world and it is getting exacerbated day by day. Almost no warning signs for detecting DR which will be greater challenge with us today. So, it is extremely preferred that DR has to be discovered on time. Adversely, the existing result involves an ophthalmologist to manually check and identify DR by positioning the exudates related with vascular irregularity due to diabetes from fundus image. In this work, we are able to classify images based on different severity levels through an automatic DR classification system. To extract specific features of image without any loss in spatial information, a Convolutional Neural Network (CNN) models which possesses an image with a distinct weight matrix is used. In the beginning, we estimate various CNN models to conclude the best performing CNN for DR classification with an objective to obtain much better accuracy. In the classification of DR disease with transfer learning using deep CNN models, 97.72% of accuracy is provided by the proposed CNN model for Kaggle dataset. The proposed CNN model provides a classification accuracy of 97.58% for MESSIDOR dataset. The proposed technique provides better results than other state-of-art methods. © 2021. All Rights Reserved.",computer aided diagnosis; image classification; learning; neural networks; retinopathy
Conference Paper,"Gwetu M.V., Tapamo J.-R., Viriri S.",Retinal Image Segmentation Through Valley Emphasis Thresholding of the Gabor Filter Response,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097549882&doi=10.1007%2f978-3-030-63007-2_40&partnerID=40&md5=5dc8445592b1aca8bb10d26c241bee53,"The quest for automated diagnosis of diabetic retinopathy continues due to increasing prevalence coupled with scarcity of skilled medical experts, especially in the third world. Due to the significant role that retinal image analysis plays in such diagnosis, there is a need for effective segmentation methods that accurately isolate the various retinal components, whose attributes have diagnostic relevance. Previous work has mainly focused on improving accuracy rates without much regard for algorithm efficiency. This study explores the use of Gabor features and Valley Emphasis (VE) thresholding for efficient and effective retinal image segmentation. Pre-processing is optimized through the squared magnitude Gabor response, prior to enrolling a selective VE thresholding approach. Experiments on the DRIVE and STARE datasets demonstrate significant reduction in computational overhead coupled with a minor improvement in segmentation accuracy. © 2020, Springer Nature Switzerland AG.",Gabor filter; Retinal image segmentation; Selective; Squared magnitude; Valley emphasis thresholding
Article,"Chetoui M., Akhloufi M.A.",Explainable end-to-end deep learning for diabetic retinopathy detection across multiple datasets,Journal of Medical Imaging,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091486578&doi=10.1117%2f1.JMI.7.4.044503&partnerID=40&md5=f52cca21611a435817fed6ce33831fc4,"Purpose: Diabetic retinopathy (DR) is characterized by retinal lesions affecting people having diabetes for several years. It is one of the leading causes of visual impairment worldwide. To diagnose this disease, ophthalmologists need to manually analyze retinal fundus images. Computer-aided diagnosis systems can help alleviate this burden by automatically detecting DR on retinal images, thus saving physicians' precious time and reducing costs. The objective of this study is to develop a deep learning algorithm capable of detecting DR on retinal fundus images. Nine public datasets and more than 90,000 images are used to assess the efficiency of the proposed technique. In addition, an explainability algorithm is developed to visually show the DR signs detected by the deep model. Approach: The proposed deep learning algorithm fine-tunes a pretrained deep convolutional neural network for DR detection. The model is trained on a subset of EyePACS dataset using a cosine annealing strategy for decaying the learning rate with warm up, thus improving the training accuracy. Tests are conducted on the nine datasets. An explainability algorithm based on gradient-weighted class activation mapping is developed to visually show the signs selected by the model to classify the retina images as DR. Result: The proposed network leads to higher classification rates with an area under curve (AUC) of 0.986, sensitivity = 0.958, and specificity = 0.971 for EyePACS. For MESSIDOR, MESSIDOR-2, DIARETDB0, DIARETDB1, STARE, IDRID, E-ophtha, and UoA-DR, the AUC is 0.963, 0.979, 0.986, 0.988, 0.964, 0.957, 0.984, and 0.990, respectively. Conclusions: The obtained results achieve state-of-the-art performance and outperform past published works relying on training using only publicly available datasets. The proposed approach can robustly classify fundus images and detect DR. An explainability model was developed and showed that our model was able to efficiently identify different signs of DR and detect this health issue. © 2020 Society of Photo-Optical Instrumentation Engineers (SPIE).",convolutional neural networks; diabetic retinopathy; exudates and hemorrhage; inception; microaneurysms; residual networks
Article,"Du J., Zou B., Ouyang P., Zhao R.",Retinal microaneurysm detection based on transformation splicing and multi-context ensemble learning,Biomedical Signal Processing and Control,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123844477&doi=10.1016%2fj.bspc.2022.103536&partnerID=40&md5=c818e98d3ead5a4930135b091068849a,"Retinal microaneurysm (MA) detection is essential for diagnosis of diabetic retinopathy (DR) by providing the earliest clinical sign of DR. However, automatically detecting MA has always been a challenge due to the extremely small proportion of MA, the susceptibility to interference from blood vessels, and the obvious contrast difference between MAs. This paper proposed a novel deep learning method to achieve accurate MA detection based on transformation splicing (TS) and multi-context ensemble learning. TS rebalances the proportion of MA and reduces interference from blood vessels by transforming the pixel distribution of each candidate image and reinforcing the features of difficult samples, which enables the subsequent model to better learn the enhanced image features. At the same time, a multi-context ensemble learning combining dual deep learning models and attention mechanism is designed to adaptively learn different spliced image contexts, which improves detection performance for weak MAs. The final scores of the proposed method in e-ophatha-MA, DiaretDB1 and ROC three public datasets are 0.518, 0.429 and 0.306 respectively, which demonstrates the state-of-the-art performance for MA detection. © 2022 Elsevier Ltd",Data Enhancement; Image Splicing; Local Cross-section Transformation; Microaneurysm Detection; Multi-context ensemble learning
Conference Paper,"Hassan R., Rahman M.A., Ullah I., Hamdan Alenezi A., Rassem T.H.",Identifying the Level of Diabetic Retinopathy Using Deep Convolution Neural Network,"ETCCE 2020 - International Conference on Emerging Technology in Computing, Communication and Electronics",2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102021984&doi=10.1109%2fETCCE51779.2020.9350905&partnerID=40&md5=9865b41b5564627cd81fe650b0b1be0c,"Diabetic Retinopathy is the leading cause of blindness in the last 100 years. The traditional screening process for DR and its stages takes a lot of time, and it is not practical. Using machine learning techniques and image processing, we can automate detecting diabetic retinal disease and disease stage with acceptable performance. In this work, we have used multiple deep convolution neural networks (CNN) with the same architecture of InceptionV3. Each of the pre-trained Inception V3 architecture is retrained with 2200 preprocessed and leveled images. The dataset is preprocessed using multiple high performing and effective image processing techniques. Then the newly trained models are used for identifying the level of DR. In the final stage, we use a voting scheme for classifying the level of DR from the output of each model. We have achieved 90.5% accuracy in binary classification (Normal/DR) and 81.1% accuracy in 5-class classification. © 2020 IEEE.",Contrast Limited Adaptive Histogram Equalization (CLAHE); Convolution Neural Network (CNN); Diabetic Retinopathy; InceptionV3
Article,"Kou C., Li W., Liang W., Yu Z., Hao J.",Microaneurysms segmentation with a U-Net based on recurrent residual convolutional neural network,Journal of Medical Imaging,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069511587&doi=10.1117%2f1.JMI.6.2.025008&partnerID=40&md5=c137b65c7ce9d47087e14799b7d636c1,"Microaneurysms (MAs) play an important role in the diagnosis of clinical diabetic retinopathy at the early stage. Annotation of MAs manually by experts is laborious and so it is essential to develop automatic segmentation methods. Automatic MA segmentation remains a challenging task mainly due to the low local contrast of the image and the small size of MAs. A deep learning-based method called U-Net has become one of the most popular methods for the medical image segmentation task. We propose an architecture for U-Net, named deep recurrent U-Net (DRU-Net), obtained by combining the deep residual model and recurrent convolutional operations into U-Net. In the MA segmentation task, DRU-Net can accumulate effective features much better than the typical U-Net. The proposed method is evaluated on two publicly available datasets: E-Ophtha and IDRiD. Our results show that the proposed DRU-Net achieves the best performance with 0.9999 accuracy value and 0.9943 area under curve (AUC) value on the E-Ophtha dataset. And on the IDRiD dataset, it has achieved 0.987 AUC value (to our knowledge, this is the first result of segmenting MAs on this dataset). Compared with other methods, such as U-Net, FCNN, and ResU-Net, our architecture (DRU-Net) achieves state-of-the-art performance. © 2019 Society of Photo-Optical Instrumentation Engineers (SPIE).",deep recurrent U-Net; microaneurysms; segmentation; U-Net
Article,"Liu Z., Wang C., Cai X., Jiang H., Wang J.",Discrimination of Diabetic Retinopathy from Optical Coherence Tomography Angiography Images Using Machine Learning Methods,IEEE Access,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100793792&doi=10.1109%2fACCESS.2021.3056430&partnerID=40&md5=72c3b61fdbcc0ec4e968b5f48e03d4fd,"The goal was to discriminate between diabetic retinopathy (DR) and healthy controls (HC) by evaluating Optical coherence tomography angiography (OCTA) images from $3\times 3$ mm scans with the assistance of different machine learning models. The OCTA angiography dataset of superficial vascular plexus (SVP), deep vascular plexus (DVP), and retinal vascular network (RVN) were acquired from 19 DR (38 eyes) patients and 25 HC (44 eyes). A discrete wavelet transform was applied to extract texture features from each image. Four machine learning models, including logistic regression (LR), logistic regression regularized with the elastic net penalty (LR-EN), support vector machine (SVM), and the gradient boosting tree named XGBoost, were used to classify wavelet features between groups. The area under the receiver operating characteristics curve (AUC), sensitivity, specificity, and diagnostic accuracy of the classifiers were obtained. The OCTA image dataset included 114 and 132 images from DR and HC subjects, respectively. LR-EN and LR using all three images, SVP, DVP, and RVN, provided the highest sensitivity of 0.84 and specificity of 0.80, the best diagnostic accuracy of 0.82, and an AUC of 0.83 and 0.84, respectively, which were slightly lower than that of LR using one image SVP (0.85) or two images DVP and SVP (0.85). The LR-EN and LR classification algorithms had the high sensitivity, specificity, and diagnostic accuracy in identifying DR, which may be promising in facilitating the early diagnosis of DR. © 2013 IEEE.",Diabetic retinopathy; logistic regression; logistic regression regularized with the elastic net penalty; machine learning; support vector machine
Article,"Maji D., Sekh A.A.",Automatic Grading of Retinal Blood Vessel in Deep Retinal Image Diagnosis,Journal of Medical Systems,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090029973&doi=10.1007%2fs10916-020-01635-1&partnerID=40&md5=cf482dbc905f6ff21cb9f50ab7809b9e,"Automatic grading of retinal blood vessels from fundus image can be a useful tool for diagnosis, planning and treatment of eye. Automatic diagnosis of retinal images for early detection of glaucoma, stroke, and blindness is emerging in intelligent health care system. The method primarily depends on various abnormal signs, such as area of hard exudates, area of blood vessels, bifurcation points, texture, and entropies. The development of an automated screening system based on vessel width, tortuosity, and vessel branching are also used for grading. However, the automated method that directly can come to a decision by taking the fundus images got less attention. Detecting eye problems based on the tortuosity of the vessel from fundus images is a complicated task for opthalmologists. So automated grading algorithm using deep learning can be most valuable for grading retinal health. The aim of this work is to develop an automatic computer aided diagnosis system to solve the problem. This work approaches to achieve an automatic grading method that is opted using Convolutional Neural Network (CNN) model. In this work we have studied the state-of-the-art machine learning algorithms and proposed an attention network which can grade retinal images. The proposed method is validated on a public dataset EIARG1, which is only publicly available dataset for such task as per our knowledge. © 2020, The Author(s).",Diabetic retinopathy (DR); Retinopathy of prematurity (ROP); Tortuosity-based grading
Article,"Arsalan M., Haider A., Won Lee Y., Ryoung Park K.",Detecting retinal vasculature as a key biomarker for deep Learning-based intelligent screening and analysis of diabetic and hypertensive retinopathy,Expert Systems with Applications,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127574304&doi=10.1016%2fj.eswa.2022.117009&partnerID=40&md5=5a00c79c4ca4f7dcea1d343c6132bd10,"Retinal vessels are considered important biomarkers for the detection of retinal diseases, like diabetic retinopathy (caused by diabetes) and hypertensive retinopathy (caused by hypertension). The manual finding from this retinal vasculature is time-consuming and costly. The image quality of the fundus image directly affects the accurate segmentation of these vessels in the automatic methods. With such inferior quality images, deep-learning-based methods are better for dealing with segmentation. Conventional deep-learning-based vessel segmentation methods deal the segmentation task with deeper convolutional neural networks and many trainable parameters. Minor changes in the retinal vasculature, such as those that result from the creation of new smaller vessels, is crucial for the keen analysis of diseases (e.g., diabetic retinopathy). The small vessels are crucial to segment, owing to continuous max-pooling operations and deeper networks. We herein present a pool-less residual segmentation network that is capable of segmenting even smaller vessels using a shallower network with a low number of trainable parameters. Our proposed pool-less residual segmentation network (PLRS-Net) is a vessel segmentation network that provides the pooling effect with strided convolution for better segmentation sensitivity. The final PLRS-Net is an advanced form of a pool-less segmentation network (PLS-Net) wherein semantic segmentation was performed with a few layers, and the residual connection fulfilled the feature enhancement strategy to construct PLRS-Net. PLS-Net and PLRS-Net are two separate networks that can perform vessel segmentation without prior preprocessing and postprocessing. To evaluate our proposed method, the experiments include three publicly available datasets: Digital retinal images for vessel extraction (DRIVE), child heart health study in England database (CHASE-DB1), and structured analysis of retina (STARE). The results demonstrate that our proposed method provides a high segmentation performance, achieving an average sensitivity (Sen) of 82.69, specificity (Spe) of 98.17, accuracy (Acc) 96.82, and area under the curve (AUC) of 98.35 for the DRIVE dataset, Sen of 83.01, Spe of 98.39, Acc of 97.31, and AUC of 98.63 for the CHASE-DB1 dataset, and a Sen of 86.35, Spe of 98.03, Acc of 97.15, and AUC of 98.99 for the STARE dataset. These accuracies show exceptional segmentation performance of the proposed method compared to state-of-the-art approaches for automatic vessel detection for diagnosis purposes. © 2022 Elsevier Ltd",Deep learning; Diabetic and hypertensive retinopathy; PLRS-Net; PLS-Net; Retinal vessels
Article,"Wang X., Tang F., Chen H., Luo L., Tang Z., Ran A.-R., Cheung C.Y., Heng P.-A.",UD-MIL: Uncertainty-Driven Deep Multiple Instance Learning for OCT Image Classification,IEEE Journal of Biomedical and Health Informatics,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092207318&doi=10.1109%2fJBHI.2020.2983730&partnerID=40&md5=4cbc0ced485547769f13ed77eddd1e1d,"Deep learning has achieved remarkable success in the optical coherence tomography (OCT) image classification task with substantial labelled B-scan images available. However, obtaining such fine-grained expert annotations is usually quite difficult and expensive. How to leverage the volume-level labels to develop a robust classifier is very appealing. In this paper, we propose a weakly supervised deep learning framework with uncertainty estimation to address the macula-related disease classification problem from OCT images with the only volume-level label being available. First, a convolutional neural network (CNN) based instance-level classifier is iteratively refined by using the proposed uncertainty-driven deep multiple instance learning scheme. To our best knowledge, we are the first to incorporate the uncertainty evaluation mechanism into multiple instance learning (MIL) for training a robust instance classifier. The classifier is able to detect suspicious abnormal instances and abstract the corresponding deep embedding with high representation capability simultaneously. Second, a recurrent neural network (RNN) takes instance features from the same bag as input and generates the final bag-level prediction by considering the individually local instance information and globally aggregated bag-level representation. For more comprehensive validation, we built two large diabetic macular edema (DME) OCT datasets from different devices and imaging protocols to evaluate the efficacy of our method, which are composed of 30,151 B-scans in 1,396 volumes from 274 patients (Heidelberg-DME dataset) and 38,976 B-scans in 3,248 volumes from 490 patients (Triton-DME dataset), respectively. We compare the proposed method with the state-of-the-art approaches, and experimentally demonstrate that our method is superior to alternative methods, achieving volume-level accuracy, F1-score and area under the receiver operating characteristic curve (AUC) of 95.1%, 0.939 and 0.990 on Heidelberg-DME and those of 95.1%, 0.935 and 0.986 on Triton-DME, respectively. Furthermore, the proposed method also yields competitive results on another public age-related macular degeneration OCT dataset, indicating the high potential as an effective screening tool in the clinical practice. © 2013 IEEE.",classification; multiple instance learning; Optical coherence tomography; uncertainty estimation
Article,"Vives-Boix V., Ruiz-Fernández D.",Diabetic retinopathy detection through convolutional neural networks with synaptic metaplasticity,Computer Methods and Programs in Biomedicine,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106311342&doi=10.1016%2fj.cmpb.2021.106094&partnerID=40&md5=2f68bdfe8152e5145c8772727117a945,"Background and objectives: Diabetic retinopathy is a type of diabetes that causes vascular changes that can lead to blindness. The ravages of this disease cannot be reversed, so early detection is essential. This work presents an automated method for early detection of this disease using fundus colored images. Methods: A bio-inspired approach is proposed on synaptic metaplasticity in convolutional neural networks. This biological phenomenon is known to directly interfere in both learning and memory by reinforcing less common occurrences during the learning process. Synaptic metaplasticity has been included in the backpropagation stage of a convolution operation for every convolutional layer. Results: The proposed method has been evaluated by using a public small diabetic retinopathy dataset from Kaggle with four award-winning convolutional neural network architectures. Results show that convolutional neural network architectures including synaptic metaplasticity improve both learning rate and accuracy. Furthermore, obtained results outperform other methods in current literature, even using smaller datasets for training. Best results have been obtained for the InceptionV3 architecture with synaptic metaplasticity with a 95.56% accuracy, 94.24% F1-score, 98.9% precision and 90% recall, using 3662 images for training. Conclusions: Convolutional neural networks with synaptic metaplasticity are suitable for early detection of diabetic retinopathy due to their fast convergence rate, training simplicity and high performance. © 2021 Elsevier B.V.",Convolutional neural networks; Deep learning; Diabetic retinopathy; Image processing; Metaplasticity
Conference Paper,Mishra R.K.,Deep Learning Model for Multiclass Classification of Diabetic Retinal Fundus Images Using Gradient Descent Optimization,Lecture Notes in Electrical Engineering,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144186651&doi=10.1007%2f978-981-19-5550-1_3&partnerID=40&md5=80c266833ad1259a319ef3883b7b0cb5,"Multiclass classification of diabetic retinal fundus images is a challenging task for classical methods due to presence of non-linear patterns in the images. Non-linearity in the shape and structure of blood vessels causes loss of crucial information used in accurate diagnosis of the disease. Hence, machine learning models became more prominent with high accuracy and speed of disease diagnosis. However, the efficacy of these methods largely depends on the feature extraction models. Convolutional neural networks (CNNs) provide solution to these difficulties by incorporating both feature extraction and classification in a single architecture. This work presents a gradient-descent (GD)-based optimization in CNN classifier that improves both speed and accuracy of classification. Experiments conducted on Kaggle, DRIVE, and STARE datasets, and the results are compared to the existing methods. The proposed approach shows a false positive rate (FPR) of 0.00075, specificity of 100%, precision of 99.9%, recall rate of 99.75%, and -score of 99.99%. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",Convolutional neural networks; Diabetic retinopathy; Gradient descent; Medical image classification; Optimization
Conference Paper,"Zabihollahy F., Ukwatta E.",Fully-automated segmentation of optic disk from retinal images using deep learning techniques,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068105531&doi=10.1117%2f12.2512239&partnerID=40&md5=7579e22d4ce1d0e86fb0843ef5fd30e3,"Segmentation of optic disk (OD) from retinal images is a crucial task for early detection of many eye diseases, including glaucoma and diabetic retinopathy. The main goal of this research is to facilitate early diagnosis of certain pathologies via fully automated segmentation of the OD from retinal images. We propose a deep learning-based technique to delineate the boundary of OD from retinal images of patients with diabetic retinopathy and diabetic macular edema. In our method, we first localized OD within a region of interest (ROI) using random forest (RF). The RF is an ensemble algorithm, which trains and combines multiple decision trees to produce a highly accurate classifier. We then used a convolutional neural network (CNN) based model to segment OD from chosen ROIs in the retinal images. The developed algorithm has been validated on 480,249 image patches extracted from 49 images of public Indian diabetic retinopathy image dataset (IDRiD). This dataset includes images with large variability in terms of the spatial location of OD and presence of other eye lesions that resemble the contrast of OD. Validation metrics including average of Dice and Jaccard indexes (DI and JI), Hausdorff distance (HD), and absolute surface difference (ASD) were reported as 82.62 ± 11.07%, 71.78 ± 14.87%, 13.19 ± 10.90 mm, and 22.74 ± 19.78%, respectively. As compared to other alternative methods, such as K-nearest neighbors (KNN), deformable models, graph-cuts, and image thresholding, our method yielded higher accuracy for OD segmentation in comparison to manual expert delineation. The algorithm-generated results demonstrate the usefulness of our proposed method for automated segmentation of OD from retinal images. © 2019 SPIE.",Convolutional neural network; Diabetic retinopathy; Glaucoma; Optic disk; Random forest
Article,"Abbood S.H., Hamed H.N.A., Rahim M.S.M., Rehman A., Saba T., Bahaj S.A.",Hybrid Retinal Image Enhancement Algorithm for Diabetic Retinopathy Diagnostic Using Deep Learning Model,IEEE Access,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134247277&doi=10.1109%2fACCESS.2022.3189374&partnerID=40&md5=6e5117df43190840a5f97cfdda9dc098,"Diabetic Retinopathy (DR) is a prevalent acute stage of diabetes mellitus that causes vision-effecting abnormalities on the retina. This will cause blindness if not identified early. Because DR not an irreversible procedure, and only vision is preserved via care. Consequently, Early diagnosis and care with DR will significantly minimize the chance of vision loss. In modern ophthalmology, retinal image analysis has become a popular approach to disease diagnosis. The ophthalmologists and computerized systems extensively employ fundus angiography to detect DR-based clinical signs for early detection of DR. fundus photographs are commonly prone to low contrast, noise, and irregular illumination issues due to the complexity of imaging environments such as imaging variety of angles and light conditions. This research presents an Algorithm for improving the quality of images to strengthen the standard of color fundus images by reducing the noise and improving the contrast. The approach includes two main stages: cropping the images to remove insignificant content, then applying the shape crop and gaussian blurring for noise reduction and contrast improvement. The experimental results are evaluated using two standard datasets EyePACS and MESSIDOR. It's clearly shown that the outcomes of feature extraction and classification of enhanced images is outperform the results without applying the enhancement approach. The improved algorithm is also tested in smart hospitals as an IoMT application. © 2013 IEEE.",deep learning; diabetic retinopathy; fundus image; health risks; healthcare; Image enhancement; retina
