Document Type,Authors,Title,Source,Year,Link,Abstract,Keywords
Review,"Thompson, Atalie C.; Jammal, Alessandro A.; Medeiros, Felipe A.","A Review of Deep Learning for Screening, Diagnosis, and Detection of Glaucoma Progression",translational vision science & technology,2020,Not found,"Because of recent advances in computing technology and the availability of large datasets, deep learning has risen to the forefront of artificial intelligence, with performances that often equal, or sometimes even exceed, those of human subjects on a variety of tasks, especially those related to image classification and pattern recognition. As one of the medical fields that is highly dependent on ancillary imaging tests, ophthalmology has been in a prime position to witness the application of deep learning algorithms that can help analyze the vast amount of data coming from those tests. In particular, glaucoma stands as one of the conditions where application of deep learning algorithms could potentially lead to better use of the vast amount of information coming from structural and functional tests evaluating the optic nerve and macula. The purpose of this article is to critically review recent applications of deep learning models in glaucoma, discussing their advantages but also focusing on the challenges inherent to the development of such models for screening, diagnosis and detection of progression. After a brief general overview of deep learning and how it compares to traditional machine learning classifiers, we discuss issues related to the training and validation of deep learning models and how they specifically apply to glaucoma. We then discuss specific scenarios where deep learning has been proposed for use in glaucoma, such as screening with fundus photography, and diagnosis and detection of glaucoma progression with optical coherence tomography and standard automated perimetry. Translational Relevance: Deep learning algorithms have the potential to significantly improve diagnostic capabilities in glaucoma, but their application in clinical practice requires careful validation, with consideration of the target population, the reference standards used to build the models, and potential sources of bias.",glaucoma; deep learning; optical coherence tomography; visual fields
Article,"Hoque, Mohammed Enamul; Kipli, Kuryati; Zulcaffle, Tengku Mohd Afendi; Al-Hababi, Abdulrazak Yahya Saleh; Mat, Dayang Azra Awang; Sapawi, Rohana; Joseph, Annie Anak",A Deep Learning Approach for Retinal Image Feature Extraction,pertanika journal of science and technology,2021,Not found,"Retinal image analysis is crucially important to detect the different kinds of life-threatening cardiovascular and ophthalmic diseases as human retinal microvasculature exhibits remarkable abnormalities responding to these disorders. The high dimensionality and random accumulation of retinal images enlarge the data size, that creating complexity in managing and understating the retinal image data. Deep Learning (DL) has been introduced to deal with this big data challenge by developing intelligent tools. Convolutional Neural Network (CNN), a DL approach, has been designed to extract hierarchical image features with more abstraction. To assist the ophthalmologist in eye screening and ophthalmic disease diagnosis, CNN is being explored to create automatic systems for microvascular pattern analysis, feature extraction, and quantification of retinal images. Extraction of the true vessel of retinal microvasculature is significant for further analysis, such as vessel diameter and bifurcation angle quantification. This study proposes a retinal image feature, true vessel segments extraction approach exploiting the Faster RCNN. The fundamental Image Processing principles have been employed for pre-processing the retinal image data. A combined database assembling image data from different publicly available databases have been used to train, test, and evaluate this proposed method. This proposed method has obtained 92.81% sensitivity and 63.34 positive predictive value in extracting true vessel segments from the top first tier of colour retinal images. It is expected to integrate this method into ophthalmic diagnostic tools with further evaluation and validation by analysing the performance.",cardiovascular disease; convolutional neural network; deep learning; feature extraction; retinal imaging
Proceedings Paper,"Filippini, Chiara; Chiarelli, Antonio Maria; Cardone, Daniela; Perpetuini, David; Brescia, Lorenza; Agnifili, Luca; Mastropasqua, Leonardo; Merla, Arcangelo",Age-related ocular surface modifications assessment combining thermal infrared and deep learning approach.,"infrared sensors, devices, and applications xi",2021,Not found,"Age-related diseases such as glaucoma, diabetic retinopathy, and macular degeneration remain the leading causes of low, vision in developed countries. Early detection of such diseases can prevent the risk of progression to blindness. To this end, regular check-ups are encouraged to favor timely eye disease diagnosis. Yet, conducting routine large-scale eye screening can be difficult and time-consuming. In this study, a novel, fast and automatic approach for age-related ocular surface modifications (AR-OSM) assessment is proposed. Indeed, accurate AR-OSM detection in the healthy population may allow to establish age-matched normal ranges, valuable for the preliminary identification of age-related diseases. The task was performed combining thermal infrared (IR) imaging of the eye with artificial intelligence techniques. Thermal IR imaging enables non-invasive real-time imaging of the ocular surface temperature (OST). OST is influenced by ocular factors like the tear film, blood flow perfusion, heat conduction, and convection of the aqueous humor, thus providing significant information on eye health. Ninety-two healthy subjects participated in the experiment (age: 20-90 years-old). A Deep convolutional neural network (DCNN) model was implemented to predict the subjects' age based on their eye IR-image. The DCNN was able to predict the participants' age with a good level of accuracy, reporting a correlation between real and predicted age of r=0.82 and RMSE=9.9years. In conclusion, this method allows an accurate AR-OSM evaluation usable for early recognition of eyes at risk for age-related disease.",eye aging; ir imaging; deep learning; artificial intelligence
Article,"Bi, Shaowei; Chen, Rongxin; Zhang, Kai; Xiang, Yifan; Wang, Ruixin; Lin, Haotian; Yang, Huasheng",Differentiate cavernous hemangioma from schwannoma with artificial intelligence (AI),annals of translational medicine,2020,Not found,"Background: Cavernous hemangioma and schwannoma are tumors that both occur in the orbit. Because the treatment strategies of these two tumors are different, it is necessary to distinguish them at treatment initiation. Magnetic resonance imaging (MRI) is typically used to differentiate these two tumor types; however, they present similar features in MRI images which increases the difficulty of differential diagnosis. This study aims to devise and develop an artificial intelligence framework to improve the accuracy of clinicians' diagnoses and enable more effective treatment decisions by automatically distinguishing cavernous hemangioma from schwannoma. Methods: Material: As the study materials, we chose MRI images as the study materials that represented patients from diverse areas in China who had been referred to our center from more than 45 different hospitals. All images were initially acquired on films, which we scanned into digital versions and recut. Finally, 11,489 images of cavernous hemangioma (from 33 different hospitals) and 3,478 images of schwannoma (from 16 different hospitals) were collected. Labeling: All images were labeled using standard anatomical knowledge and pathological diagnosis. Training: Three types of models were trained in sequence (a total of 96 models), with each model including a specific improvement. The first two model groups were eye- and tumor-positioning models designed to reduce the identification scope, while the third model group consisted of classification models trained to make the final diagnosis. Results: First, internal four-fold cross-validation processes were conducted for all the models. During the validation of the first group, the 32 eye-positioning models were able to localize the position of the eyes with an average precision of 100%. In the second group, the 28 tumor-positioning models were able to reach an average precision above 90%. Subsequently, using the third group, the accuracy of all 32 tumor classification models reached nearly 90%. Next, external validation processes of 32 tumor classification models were conducted. The results showed that the accuracy of the transverse T1-weighted contrast-enhanced sequence reached 91.13%; the accuracy of the remaining models was significantly lower compared with the ground truth. Conclusions: The findings of this retrospective study show that an artificial intelligence framework can achieve high accuracy, sensitivity, and specificity in automated differential diagnosis between cavernous hemangioma and schwannoma in a real-world setting, which can help doctors determine appropriate treatments.",artificial intelligence (ai); differential diagnosis; multicenter
Article,"Li, Qianjin; Fan, Shanshan; Chen, Changsheng",An Intelligent Segmentation and Diagnosis Method for Diabetic Retinopathy Based on Improved U-NET Network,journal of medical systems,2019,Not found,"Due to insufficient samples, the generalization performance of deep network is insufficient. In order to solve this problem, an improved U-net based image automatic segmentation and diagnosis algorithm was proposed, in which the max-pooling operation in original U-net model was replaced by the convolution operation to keep more feature information. Firstly, the regions of 128x128 were extracted from all slices of the patients as data samples. Secondly, the patient samples were divided into training sample set and testing sample set, and data augmentation was performed on the training samples. Finally, all the training samples were adopted to train the model. Compared with Fully Convolutional Network (FCN) model and max-pooling based U-net model, DSC and CR coefficients of the proposed method achieve the best results, while PM coefficient is 2.55 percentage lower than the maximum value in the two comparison models, and Average Symmetric Surface Distance is slightly higher than the minimum value of the two comparison models by 0.004. The experimental results show that the proposed model can achieve good segmentation and diagnosis results.",generalization performance; deep learning; diabetic retinopathy; u-net model; fully convolutional network; intelligent diagnosis
Proceedings Paper,"Kamble, Vaibhav V.; Kokate, Rajendra D.","Automatic Identification and Classification of Microaneurysms, Exudates and Blood Vessel for Early Diabetic Retinopathy Recognition",computational intelligence in data mining,2019,Not found,"Diabetic retinopathy (DR) is vital concern that leads to blindness in adults around the world. In this paper, we proposed a system for early identification and classification of retinal fundus images as DR or non-DR. The ophthalmic features like blood vessels, microaneurysms and exudates are extracted and calculated by applying morphological of 2D median filter, multilevel histogram analysis and intensity transformation, respectively. The proposed system is executed on DIARETDBO 130 and DIARETDB1 89 fundus images dataset using artificial neural networks (ANNs). Result analysis is completed by calculating mean, variance, standard deviation, and correlation. We trained the proposed system model by multilayer perceptron with back-propagation, and system achieved sensitivity 0.83 and specificity 0.045 for DIARETDBO and sensitivity 0.95 and specificity 0.2 for DIARETDB1.",diabetic retinopathy; blood vessels; microaneurysms; exudates; tortuosity; ann; fundus images
Proceedings Paper,"Yu, Zehao; Yang, Xi; Sweeting, Gianna L.; Ma, Yinghan; Stolte, Skylar E.; Fang, Ruogu; Wu, Yonghui",Identify Diabetic Retinopathy-related Clinical Concepts Using Transformer-based Natural Language Processing Methods,2021 ieee 9th international conference on healthcare informatics (ichi 2021),2021,Not found,"Diabetic retinopathy (DR) is a leading cause of blindness in American adults. If detected early, DR can be treated to preventing further damage causing blindness, therefore, early detection is very important for the treatment of DR. There is an increasing interest in developing Al technologies to help early detection of DR using electronic health records (EHR). The detailed diagnoses information documented in image reports is a valuable resource that could help detect lesions from the medical image, thus helping early detection of DR. In this study, we examined two state-of-the-art transformer-based natural language processing models, including BERT and RoBERTa, to extract DR-related concepts from clinical narratives. We identified four different categories of DR-related clinical concepts including lesions, eye parts, laterality, and severity, developed annotation guidelines, annotated a DR-corpus of 536 image reports, and trained four transformer-based NLP models for clinical concept extraction. The experimental results show that the BERT model pretrained with the MIMIC III dataset achieved the best strict/lenient F1-score of 0.9503 and 0.9645, respectively.",diabetic retinopathy; natural language processing; named entity recognition; deep learning
Review,"Bhambra, Nishaant; Antaki, Fares; El Malt, Farida; Xu, AnQi; Duval, Renaud",Deep learning for ultra-widefield imaging: a scoping review,graefes archive for clinical and experimental ophthalmology,2022,Not found,"Purpose This article is a scoping review of published and peer-reviewed articles using deep-learning (DL) applied to ultra-widefield (UWF) imaging. This study provides an overview of the published uses of DL and UWF imaging for the detection of ophthalmic and systemic diseases, generative image synthesis, quality assessment of images, and segmentation and localization of ophthalmic image features. Methods A literature search was performed up to August 31st, 2021 using PubMed, Embase, Cochrane Library, and Google Scholar. The inclusion criteria were as follows: (1) deep learning, (2) ultra-widefield imaging. The exclusion criteria were as follows: (1) articles published in any language other than English, (2) articles not peer-reviewed (usually preprints), (3) no full-text availability, (4) articles using machine learning algorithms other than deep learning. No study design was excluded from consideration. Results A total of 36 studies were included. Twenty-three studies discussed ophthalmic disease detection and classification, 5 discussed segmentation and localization of ultra-widefield images (UWFIs), 3 discussed generative image synthesis, 3 discussed ophthalmic image quality assessment, and 2 discussed detecting systemic diseases via UWF imaging. Conclusion The application of DL to UWF imaging has demonstrated significant effectiveness in the diagnosis and detection of ophthalmic diseases including diabetic retinopathy, retinal detachment, and glaucoma. DL has also been applied in the generation of synthetic ophthalmic images. This scoping review highlights and discusses the current uses of DL with UWF imaging, and the future of DL applications in this field.",deep learning; ultra-widefield imaging; artificial intelligence; scoping review; machine learning; quality assessment
Article,"Lee, JoonHo; Lee, Joonseok; Cho, Sooah; Song, JiEun; Lee, Minyoung; Kim, Sung Ho; Lee, Jin Young; Shin, Dae Hwan; Kim, Joon Mo; Bae, Jung Hun; Song, Su Jeong; Sagong, Min; Park, Donggeun",Development of Decision Support Software for Deep Learning-Based Automated Retinal Disease Screening Using Relatively Limited Fundus Photograph Data,electronics,2021,Not found,"Purpose-This study was conducted to develop an automated detection algorithm for screening fundus abnormalities, including age-related macular degeneration (AMD), diabetic retinopathy (DR), epiretinal membrane (ERM), retinal vascular occlusion (RVO), and suspected glaucoma among health screening program participants. Methods-The development dataset consisted of 43,221 retinal fundus photographs (from 25,564 participants, mean age 53.38 +/- 10.97 years, female 39.0%) from a health screening program and patients of the Kangbuk Samsung Hospital Ophthalmology Department from 2006 to 2017. We evaluated our screening algorithm on independent validation datasets. Five separate one-versus-rest (OVR) classification algorithms based on deep convolutional neural networks (CNNs) were trained to detect AMD, ERM, DR, RVO, and suspected glaucoma. The ground truth for both development and validation datasets was graded at least two times by three ophthalmologists. The area under the receiver operating characteristic curve (AUC), sensitivity, and specificity were calculated for each disease, as well as their macro-averages. Results-For the internal validation dataset, the average sensitivity was 0.9098 (95% confidence interval (CI), 0.8660-0.9536), the average specificity was 0.9079 (95% CI, 0.8576-0.9582), and the overall accuracy was 0.9092 (95% CI, 0.8769-0.9415). For the external validation dataset consisting of 1698 images, the average of the AUCs was 0.9025 (95% CI, 0.8671-0.9379). Conclusions-Our algorithm had high sensitivity and specificity for detecting major fundus abnormalities. Our study will facilitate expansion of the applications of deep learning-based computer-aided diagnostic decision support tools in actual clinical settings. Further research is needed to improved generalization for this algorithm.",deep learning; diagnosis; fundus
Article,"Wang, Chengjin; Zhang, Yuwei; Xu, Shuai; Liu, Yuyan; Xie, Lindan; Wu, Changlong; Yang, Qianhui; Chu, Yanhua; Ye, Qing",Research on Assistant Diagnosis of Fundus Optic Neuropathy Based on Deep Learning,current eye research,2023,Not found,"Purpose The purpose of this study was to use the neural network to distinguish optic edema (ODE), and optic atrophy from normal fundus images and try to use visualization to explain the artificial intelligence methods. Methods Three hundred and sixty-seven images of ODE, 206 images of optic atrophy, and 231 images of normal fundus were used, which were provided by two hospitals. A set of image preprocessing and data enhancement methods were created and a variety of different neural network models, such as VGG16, VGG19, Inception V3, and 50-layer Deep Residual Learning (ResNet50) were used. The accuracy, recall, F1-score, and ROC curve under different networks were analyzed to evaluate the performance of models. Besides, CAM (class activation mapping) was utilized to find the focus of neural network and visualization of neural network with feature fusion. Results Our image preprocessing and data enhancement method significantly improved the accuracy of model performance by about 10%. Among the networks, VGG16 had the best effect, as the accuracy of ODE, optic atrophy and normal fundus were 98, 90, and 95%, respectively. The macro-average and micro-average of VGG16 both reached 0.98. From CAM we can clearly find out that the focus area of the network is near the optic cup. From feature fusion images, we can find out the difference between the three types fundus images. Conclusion Through image preprocessing, data enhancement, and neural network training, we applied artificial intelligence to identify ophthalmic diseases, acquired the focus area through CAM, and identified the difference between the three ophthalmic diseases through neural network middle layers visualization. With the help of assistant diagnosis, ophthalmologists can evaluate cases more precisely and more clearly.",deep learning; convolutional neural network; visualization; cam; funds photos
Proceedings Paper,"Santos, Carlos; De Aguiar, Marilton Sanchotene; Welfer, Daniel; Belloni, Bruno",Deep Neural Network Model based on One-Stage Detector for Identifying Fundus Lesions,2021 international joint conference on neural networks (ijcnn),2021,Not found,"Diabetic Retinopathy is a major cause of vision loss caused by retina lesions, including hard and soft exudates, microaneurysms, and hemorrhages. The development of a computational tool capable of detecting these lesions can assist in the early diagnosis of the most severe forms of the lesions and assist in the screening process and definition of the best treatment form. However, the detection of tiny objects of very different sizes and shapes makes the detection process more complicated. This paper proposes a computational model based on pre-trained convolutional neural networks capable of detecting fundus lesions to promote medical diagnosis support. We trained, adjusted, and evaluated the model using the DDR diabetic retinopathy dataset and implemented it based on a YOLOv4 architecture and Darknet framework, achieving an mAP of 7.26% and a mIoU of 11.64%. The experimental results show that the proposed model presented results superior to those obtained in related works found in the literature.",diabetic retinopathy; fundus image; deep learning; lesion detection
Article,"Escorcia-Gutierrez, Jose; Torrents-Barrena, Jordina; Gamarra, Margarita; Madera, Natasha; Romero-Aroca, Pedro; Valls, Aida; Puig, Domenec",A Feature Selection Strategy to Optimize Retinal Vasculature Segmentation,cmc-computers materials & continua,2022,Not found,"Diabetic retinopathy (DR) is a complication of diabetes mellitus that appears in the retina. Clinitians use retina images to detect DR pathological signs related to the occlusion of tiny blood vessels. Such occlusion brings a degenerative cycle between the breaking off and the new generation of thinner and weaker blood vessels. This research aims to develop a suitable retinal vasculature segmentation method for improving retinal screening procedures by means of computer-aided diagnosis systems. The blood vessel segmenta-tion methodology relies on an effective feature selection based on Sequential Forward Selection, using the error rate of a decision tree classifier in the evaluation function. Subsequently, the classification process is performed by three alternative approaches: artificial neural networks, decision trees and support vector machines. The proposed methodology is validated on three publicly accessible datasets and a private one provided by Hospital Sant Joan of Reus. In all cases we obtain an average accuracy above 96% with a sensitivity of 72% in the blood vessel segmentation process. Compared with the state-of -the-art, our approach achieves the same performance as other methods that need more computational power. Our method significantly reduces the number of features used in the segmentation process from 20 to 5 dimensions. The implementation of the three classifiers confirmed that the five selected features have a good effectiveness, independently of the classification algorithm.",diabetic retinopathy; artificial neural networks; decision trees; support vector machines; feature selection; retinal vasculature segmentation
Proceedings Paper,"Abbasi-Sureshjani, Samaneh; Dashtbozorg, Behdad; Romeny, Bart M. ter Haar; Fleuret, Francois",Exploratory Study on Direct Prediction of Diabetes Using Deep Residual Networks,vipimage 2017,2018,Not found,"Diabetes is threatening the health of many people in the world. People may be diagnosed with diabetes only when symptoms or complications such as diabetic retinopathy start to appear. Retinal images reflect the health of the circulatory system and they are considered as a cheap and patient-friendly source of information for diagnosis purposes. Convolutional neural networks have enhanced the performance of conventional image processing techniques significantly by neglecting inconsistent feature extraction pipelines and learning informative features automatically from data. In this work we explore the possibility of using the deep residual networks as one of the state-of-the-art convolutional networks to diagnose diabetes directly from retinal images, without using any blood glucose information. The results indicate that convolutional networks are able to capture informative differences between healthy and diabetic patients and it is possible to differentiate between these two groups using only the retinal images. The performance of the proposed method is significantly higher than human experts.",retinal images; diabetes; diabetic retinopathy; deep learning; resnet
Article,"Bhattacharya, Sweta; Maddikunta, Praveen Kumar Reddy; Pham, Quoc-Viet; Gadekallu, Thippa Reddy; Krishnan, S. Siva Rama; Chowdhary, Chiranji Lal; Alazab, Mamoun; Piran, Md. Jalil",Deep learning and medical image processing for coronavirus (COVID-19) pandemic: A survey,sustainable cities and society,2021,Not found,"Since December 2019, the coronavirus disease (COVID-19) outbreak has caused many death cases and affected all sectors of human life. With gradual progression of time, COVID-19 was declared by the world health organization (WHO) as an outbreak, which has imposed a heavy burden on almost all countries, especially ones with weaker health systems and ones with slow responses. In the field of healthcare, deep learning has been implemented in many applications, e.g., diabetic retinopathy detection, lung nodule classification, fetal localization, and thyroid diagnosis. Numerous sources of medical images (e.g., X-ray, CT, and MRI) make deep learning a great technique to combat the COVID-19 outbreak. Motivated by this fact, a large number of research works have been proposed and developed for the initial months of 2020. In this paper, we first focus on summarizing the state-of-the-art research works related to deep learning applications for COVID-19 medical image processing. Then, we provide an overview of deep learning and its applications to healthcare found in the last decade. Next, three use cases in China, Korea, and Canada are also presented to show deep learning applications for COVID-19 medical image processing. Finally, we discuss several challenges and issues related to deep learning implementations for COVID-19 medical image processing, which are expected to drive further studies in controlling the outbreak and controlling the crisis, which results in smart healthy cities.",artificial intelligence (ai); big data; coronavirus pandemic; covid-19; epidemic outbreak; deep learning; medical image processing
Article,"Nazir, Tahira; Irtaza, Aun; Javed, Ali; Malik, Hafiz; Hussain, Dildar; Naqvi, Rizwan Ali",Retinal Image Analysis for Diabetes-Based Eye Disease Detection Using Deep Learning,applied sciences-basel,2020,Not found,"Diabetic patients are at the risk of developing different eye diseases i.e., diabetic retinopathy (DR), diabetic macular edema (DME) and glaucoma. DR is an eye disease that harms the retina and DME is developed by the accumulation of fluid in the macula, while glaucoma damages the optic disk and causes vision loss in advanced stages. However, due to slow progression, the disease shows few signs in early stages, hence making disease detection a difficult task. Therefore, a fully automated system is required to support the detection and screening process at early stages. In this paper, an automated disease localization and segmentation approach based on Fast Region-based Convolutional Neural Network (FRCNN) algorithm with fuzzy k-means (FKM) clustering is presented. The FRCNN is an object detection approach that requires the bounding-box annotations to work; however, datasets do not provide them, therefore, we have generated these annotations through ground-truths. Afterward, FRCNN is trained over the annotated images for localization that are then segmented-out through FKM clustering. The segmented regions are then compared against the ground-truths through intersection-over-union operations. For performance evaluation, we used the Diaretdb1, MESSIDOR, ORIGA, DR-HAGIS, and HRF datasets. A rigorous comparison against the latest methods confirms the efficacy of the approach in terms of both disease detection and segmentation.",glaucoma; deep learning; diabetic retinopathy; fuzzy k-means clustering; medical imaging
Review,"Buisson, Mathieu; Navel, Valentin; Labbe, Antoine; Watson, Stephanie L.; Baker, Julien S.; Murtagh, Patrick; Chiambaretta, Frederic; Dutheil, Frederic",Deep learning versus ophthalmologists for screening for glaucoma on fundus examination: A systematic review and meta-analysis,clinical and experimental ophthalmology,2021,Not found,"Background In this systematic review and meta-analysis, we aimed to compare deep learning versus ophthalmologists in glaucoma diagnosis on fundus examinations. Method PubMed, Cochrane, Embase, and ScienceDirect databases were searched for studies reporting a comparison between the glaucoma diagnosis performance of deep learning and ophthalmologists on fundus examinations on the same datasets, until 10 December 2020. Studies had to report an area under the receiver operating characteristics (AUC) with SD or enough data to generate one. Results We included six studies in our meta-analysis. There was no difference in AUC between ophthalmologists (AUC = 82.0, 95% confidence intervals [CI] 65.4-98.6) and deep learning (97.0, 89.4-104.5). There was also no difference using several pessimistic and optimistic variants of our meta-analysis: the best (82.2, 60.0-104.3) or worst (77.7, 53.1-102.3) ophthalmologists versus the best (97.1, 89.5-104.7) or worst (97.1, 88.5-105.6) deep learning of each study. We did not retrieve any factors influencing those results. Conclusion Deep learning had similar performance compared to ophthalmologists in glaucoma diagnosis from fundus examinations. Further studies should evaluate deep learning in clinical situations.",artificial intelligence; deep learning; glaucoma; machine learning; screening
Article,"Asif, Sohaib; Amjad, Kamran; Qurrat-ul-Ain",Deep Residual Network for Diagnosis of Retinal Diseases Using Optical Coherence Tomography Images,interdisciplinary sciences-computational life sciences,2022,Not found,"Diabetic retinopathy occurs due to damage to the blood vessels in the retina, and it is a major health problem in recent years that progresses slowly without recognizable symptoms. Optical coherence tomography (OCT) is a popular and widely used noninvasive imaging modality for the diagnosis of diabetic retinopathy. Accurate and early diagnosis of this disease using OCT images is crucial for the prevention of blindness. In recent years, several deep learning methods have been very successful in automating the process of detecting retinal diseases from OCT images. However, most methods face reliability and interpretability issues. In this study, we propose a deep residual network for the classification of four classes of retinal diseases, namely diabetic macular edema (DME), choroidal neovascularization (CNV), DRUSEN and NORMAL in OCT images. The proposed model is based on the popular architecture called ResNet50, which eliminates the vanishing gradient problem and is pre-trained on large dataset such as ImageNet and trained end-to-end on the publicly available OCT image dataset. We removed the fully connected layer of ResNet50 and placed our new fully connected block on top to improve the classification accuracy and avoid overfitting in the proposed model. The proposed model was trained and evaluated using different performance metrics, including receiver operating characteristic (ROC) curve on a dataset of 84,452 OCT images with expert disease grading as DRUSEN, CNV, DME and NORMAL. The proposed model provides an improved overall classification accuracy of 99.48% with only 5 misclassifications out of 968 test samples and outperforms existing methods on the same dataset. The results show that the proposed model is well suited for the diagnosis of retinal diseases in ophthalmology clinics. [GRAPHICS] .",optical coherence tomography; computer-aided detection and diagnosis; residual network; deep learning; transfer learning
Proceedings Paper,"Shah, Abhay; Lynch, Stephanie; Niemeijer, Meindert; Amelon, Ryan; Clarida, Warren; Folk, James; Russell, Stephen; Wu, Xiaodong; Abramoff, Michael D.",SUSCEPTIBILITY TO MISDIAGNOSIS OF ADVERSARIAL IMAGES BY DEEP LEARNING BASED RETINAL IMAGE ANALYSIS ALGORITHMS,2018 ieee 15th international symposium on biomedical imaging (isbi 2018),2018,Not found,"Deep learning algorithms, typically implemented as Convolutional Neural Networks (CNNs), in recent years have gained traction in medical image analysis. The majority of CNNs employed in retinal image diagnosis applications are image-based; wherein input is the retinal image and output is the classification/diagnosis, resulting in a black-box like algorithm. In contrast, hybrid lesion-based algorithms employ multiple CNN-based detectors to categorically detect various lesions in the image, and final diagnosis is computed from combination of detector outputs. Such algorithms are more physiologically plausible and provides explainability of the final prediction through intermediate detector outputs. Both classes of algorithms have reported equal diagnostic performance and outperform clinical experts in detecting referable diabetic retinopathy (rDR). However, CNNs are sensitive to adversarial images where a limited number of pixels are modified by a fraction of intensity while preserving global image context; leading to CNN misclassification. We compared diagnostic accuracy of the two classes of algorithms on adversarial images generated from rDR retinal images and results show that image-based CNNs are significantly more susceptible to adversarial images than hybrid lesion-based algorithms.",image adversarial; diabetic retinopathy; convolutional neural network
Article,"Elmoufidi, Abdelali; Skouta, Ayoub; Jai-andaloussi, Said; Ouchetto, Ouail",Deep multiple instance learning for automatic glaucoma prevention and auto-annotation using color fundus photography,progress in artificial intelligence,2022,Not found,"In the area of ophthalmology, glaucoma affects an increasing number of people. It is a major cause of blindness. Early detection prevents severe ocular complications such as glaucoma, cystoid macular edema, or diabetic proliferative retinopathy. Intelligent systems are proven to be beneficial for the assessment of glaucoma. In this paper, we describe an approach to automate the diagnosis of glaucoma disease, based on color funds photography using deep learning. The setup of the proposed framework is ordered as follows: The bidimensional empirical mode decomposition (BEMD) algorithm is applied to decompose the ROI to components (BIMFs + residue). CNN architecture VGG19 is implemented to extract features from decomposed BEMD components. The features obtained are the input parameters of the implemented classifier based on full connect layers and softmax. To train the built model, we have used the public dataset RIM-ONE DL. To test our models, we have used a part of RIM-ONE DL and REFUGE. The average obtained sensitivity, specificity, accuracy and AUC rates are, respectively, 99.14%, 99.19%, 99.13%, 99.09% and 99.17%, 99.24%, 99.20%, 99.18% in RIM-ONE DL and REFUGE dataset. The experimental results obtained from different datasets demonstrate the efficiency and robustness of the proposed approach. A comparison with some recent previous work in the literature has shown a significant advancement in our proposal.",computer-aided diagnosis; convolutional neural networks (cnns); deep learning; glaucoma; medical imaging; machine learning; ophthalmology
Article,"Murugan, R.; Roy, Parthapratim; Singh, Utkarsh",An abnormality detection of retinal fundus images by deep convolutional neural networks,multimedia tools and applications,2020,Not found,"Identification of retinal diseases is a test for the ophthalmologists as the anomalies are just unmistakable at the beginning period. Early detection of these diseases can avoid lasting vision misfortune. Dealing with a lot of retinal images and location of variations from the norm because of these infections is difficult just as tedious. In this work, the deep learning algorithm has proposed to check the abnormality condition of retina with the help of retinal fundus images. In deep leaning a training set is produced with features of variations from the norm present in the retinal images and the infection the retina is experiencing. The deep Convolutional Neural Network (CNN) classifier predicts the infection for every retinal images in the wake of social event the learning from training the set. The rightness of desire is resolved to evaluate the viability of the classifier. The proposed technique was executed in MATLAB and assessed both normal and abnormal diabetic retinopathy retinal images of IDRID, ROC, and local datasets. The proposed technique has gotten better execution measurements, for example, sensitivity of 98.2%, Specificity of 98.45%, accuracy of 98.56% and average area under receiver operating characteristics of 0.9 when contrasted with different conditions of the workmanship strategies.",retina; diabetic retinopathy; machine leaning; deep learning; convolutional neural network
Proceedings Paper,"Li, Qi; Peng, Chenglei; Ma, Yazhen; Du, Sidan; Guo, Bin; Li, Yang",Pixel-level Diabetic Retinopathy Lesion Detection Using Multi-scale Convolutional Neural Network,2021 ieee 3rd global conference on life sciences and technologies (ieee lifetech 2021),2021,Not found,"Diabetic retinopathy (DR) is one of the leading causes of preventable blindness. It's urgent to develop reliable methods for auto DR screening, the key of which is the detection of lesions. This paper presents an innovative method to detect DR lesions in pixel-level. We design a multi-scale Convolution Neural Network (CNN) that make the full use of multiple different scales with complementary image information. Experiments are carried out on both private and public datasets. Results show that multi-scale CNN model outperforms single-scale CNN model and other state-of-the-art approaches.",medical image processing; diabetic retinopathy; lesion detection; multi-scale cnn; computer-aided diagnosis
